Location ID,ZIP,Primary_City,State,County,Estimated_population_2013
382,92675,San Juan Capistrano,CA,Orange County,32052
383,91763,Montclair,CA,San Bernardino County,31947
384,92620,Irvine,CA,Orange County,31881
385,90277,Redondo Beach,CA,Los Angeles County,31847
386,90045,Los Angeles,CA,Los Angeles County,31846
387,91750,La Verne,CA,Los Angeles County,31768
388,94118,San Francisco,CA,San Francisco County,31768
389,92078,San Marcos,CA,San Diego County,31760
390,95688,Vacaville,CA,Solano County,31580
391,95993,Yuba City,CA,Sutter County,31544
392,90301,Inglewood,CA,Los Angeles County,31505
393,95667,Placerville,CA,El Dorado County,31496
394,94588,Pleasanton,CA,Alameda County,31400
395,93036,Oxnard,CA,Ventura County,31394
396,95407,Santa Rosa,CA,Sonoma County,31370
397,94578,San Leandro,CA,Alameda County,31258
398,90031,Los Angeles,CA,Los Angeles County,31171
399,93311,Bakersfield,CA,Kern County,31100
400,93726,Fresno,CA,Fresno County,31083
401,90804,Long Beach,CA,Los Angeles County,31078
402,91754,Monterey Park,CA,Los Angeles County,31078
403,91351,Canyon Country,CA,Los Angeles County,31029
404,91326,Porter Ranch,CA,Los Angeles County,30978
405,90049,Los Angeles,CA,Los Angeles County,30971
406,90504,Torrance,CA,Los Angeles County,30955
407,93534,Lancaster,CA,Los Angeles County,30946
408,91104,Pasadena,CA,Los Angeles County,30938
409,95205,Stockton,CA,San Joaquin County,30904
410,90059,Los Angeles,CA,Los Angeles County,30891
411,91350,Santa Clarita,CA,Los Angeles County,30819
412,95833,Sacramento,CA,Sacramento County,30647
413,93012,Camarillo,CA,Ventura County,30646
414,94061,Redwood City,CA,San Mateo County,30641
415,95826,Sacramento,CA,Sacramento County,30641
416,92660,Newport Beach,CA,Orange County,30639
417,92649,Huntington Beach,CA,Orange County,30609
418,91711,Claremont,CA,Los Angeles County,30549
419,93245,Lemoore,CA,Kings County,30542
420,92308,Apple Valley,CA,San Bernardino County,30484
421,94804,Richmond,CA,Contra Costa County,30446
422,92584,Menifee,CA,Riverside County,30426
423,92083,Vista,CA,San Diego County,30413
424,93292,Visalia,CA,Tulare County,30378
425,92508,Riverside,CA,Riverside County,30337
426,92545,Hemet,CA,Riverside County,30325
427,95401,Santa Rosa,CA,Sonoma County,30280
428,92653,Laguna Hills,CA,Orange County,30278
429,94523,Pleasant Hill,CA,Contra Costa County,30233
430,91007,Arcadia,CA,Los Angeles County,30229
431,91340,San Fernando,CA,Los Angeles County,30191
432,90621,Buena Park,CA,Orange County,30173
433,94590,Vallejo,CA,Solano County,30107
434,93552,Palmdale,CA,Los Angeles County,30075
435,93117,Goleta,CA,Santa Barbara County,30073
436,90260,Lawndale,CA,Los Angeles County,30019
437,95662,Orangevale,CA,Sacramento County,30006
438,91205,Glendale,CA,Los Angeles County,29988
439,91107,Pasadena,CA,Los Angeles County,29898
440,90712,Lakewood,CA,Los Angeles County,29843
441,91791,West Covina,CA,Los Angeles County,29838
442,90606,Whittier,CA,Los Angeles County,29818
443,92127,San Diego,CA,San Diego County,29815
444,95838,Sacramento,CA,Sacramento County,29787
445,95382,Turlock,CA,Stanislaus County,29775
446,90029,Los Angeles,CA,Los Angeles County,29702
447,92395,Victorville,CA,San Bernardino County,29671
448,93637,Madera,CA,Madera County,29659
449,91214,La Crescenta,CA,Los Angeles County,29577
450,92122,San Diego,CA,San Diego County,29539
451,94561,Oakley,CA,Contra Costa County,29435
452,90807,Long Beach,CA,Los Angeles County,29374
453,93060,Santa Paula,CA,Ventura County,29361
454,91355,Valencia,CA,Los Angeles County,29324
455,92373,Redlands,CA,San Bernardino County,29311
456,93657,Sanger,CA,Fresno County,29289
457,92555,Moreno Valley,CA,Riverside County,29265
458,92253,La Quinta,CA,Riverside County,29184
459,95757,Elk Grove,CA,Sacramento County,29166
460,94606,Oakland,CA,Alameda County,29161
461,93454,Santa Maria,CA,Santa Barbara County,29141
462,95356,Modesto,CA,Stanislaus County,29093
463,94070,San Carlos,CA,San Mateo County,29058
464,94520,Concord,CA,Contra Costa County,28941
465,95820,Sacramento,CA,Sacramento County,28907
466,94040,Mountain View,CA,Santa Clara County,28900
467,95050,Santa Clara,CA,Santa Clara County,28850
468,95118,San Jose,CA,Santa Clara County,28806
469,92223,Beaumont,CA,Riverside County,28784
470,95062,Santa Cruz,CA,Santa Cruz County,28766
471,92881,Corona,CA,Riverside County,28727
472,91746,La Puente,CA,Los Angeles County,28689
473,93705,Fresno,CA,Fresno County,28526
474,95358,Modesto,CA,Stanislaus County,28403
475,92316,Bloomington,CA,San Bernardino County,28308
476,90601,Whittier,CA,Los Angeles County,28300
477,94549,Lafayette,CA,Contra Costa County,28299
478,94952,Petaluma,CA,Sonoma County,28251
479,92831,Fullerton,CA,Orange County,28199
480,90036,Los Angeles,CA,Los Angeles County,28135
481,91792,West Covina,CA,Los Angeles County,28124
482,92841,Garden Grove,CA,Orange County,28034
483,95765,Rocklin,CA,Placer County,28024
484,93612,Clovis,CA,Fresno County,27974
485,95821,Sacramento,CA,Sacramento County,27968
486,94545,Hayward,CA,Alameda County,27927
487,91321,Newhall,CA,Los Angeles County,27923
488,90020,Los Angeles,CA,Los Angeles County,27911
489,94941,Mill Valley,CA,Marin County,27875
490,90230,Culver City,CA,Los Angeles County,27789
491,92124,San Diego,CA,San Diego County,27783
492,95682,Shingle Springs,CA,El Dorado County,27764
493,94589,Vallejo,CA,Solano County,27752
494,91739,Rancho Cucamonga,CA,San Bernardino County,27748
495,91768,Pomona,CA,Los Angeles County,27741
496,95301,Atwater,CA,Merced County,27725
497,95691,West Sacramento,CA,Yolo County,27722
498,95377,Tracy,CA,San Joaquin County,27701
499,93955,Seaside,CA,Monterey County,27659
500,91505,Burbank,CA,Los Angeles County,27626
501,95660,North Highlands,CA,Sacramento County,27616
502,91803,Alhambra,CA,Los Angeles County,27599
503,95835,Sacramento,CA,Sacramento County,27597
504,95361,Oakdale,CA,Stanislaus County,27534
505,95492,Windsor,CA,Sonoma County,27487
506,95661,Roseville,CA,Placer County,27487
507,94585,Suisun City,CA,Solano County,27447
508,93555,Ridgecrest,CA,Kern County,27379
509,95476,Sonoma,CA,Sonoma County,27352
510,90274,Palos Verdes Peninsula,CA,Los Angeles County,27345
511,94117,San Francisco,CA,San Francisco County,27319
512,91601,North Hollywood,CA,Los Angeles County,27284
513,91206,Glendale,CA,Los Angeles County,27257
514,95632,Galt,CA,Sacramento County,27248
515,90802,Long Beach,CA,Los Angeles County,27222
516,90713,Lakewood,CA,Los Angeles County,27153
517,94401,San Mateo,CA,San Mateo County,27144
518,92551,Moreno Valley,CA,Riverside County,27118
519,91325,Northridge,CA,Los Angeles County,27105
520,93706,Fresno,CA,Fresno County,27098
521,95128,San Jose,CA,Santa Clara County,27078
522,90803,Long Beach,CA,Los Angeles County,26984
523,94598,Walnut Creek,CA,Contra Costa County,26916
524,92673,San Clemente,CA,Orange County,26823
525,90680,Stanton,CA,Orange County,26785
526,93662,Selma,CA,Fresno County,26710
527,95842,Sacramento,CA,Sacramento County,26577
528,94510,Benicia,CA,Solano County,26571
529,96002,Redding,CA,Shasta County,26531
530,91301,Agoura Hills,CA,Los Angeles County,26447
531,96001,Redding,CA,Shasta County,26431
532,94124,San Francisco,CA,San Francisco County,26313
533,94114,San Francisco,CA,San Francisco County,26272
534,94903,San Rafael,CA,Marin County,26243
535,91784,Upland,CA,San Bernardino County,26225
536,90222,Compton,CA,Los Angeles County,26204
537,94603,Oakland,CA,Alameda County,26193
538,95973,Chico,CA,Butte County,26104
539,93001,Ventura,CA,Ventura County,26002
540,95131,San Jose,CA,Santa Clara County,25993
541,92220,Banning,CA,Riverside County,25960
542,93004,Ventura,CA,Ventura County,25905
543,93305,Bakersfield,CA,Kern County,25884
544,90062,Los Angeles,CA,Los Angeles County,25773
545,92604,Irvine,CA,Orange County,25768
546,92311,Barstow,CA,San Bernardino County,25765
547,93654,Reedley,CA,Fresno County,25763
548,91423,Sherman Oaks,CA,Los Angeles County,25746
549,91354,Valencia,CA,Los Angeles County,25573
550,94580,San Lorenzo,CA,Alameda County,25569
551,90039,Los Angeles,CA,Los Angeles County,25511
552,95337,Manteca,CA,San Joaquin County,25476
553,94610,Oakland,CA,Alameda County,25467
554,90304,Inglewood,CA,Los Angeles County,25406
555,91356,Tarzana,CA,Los Angeles County,25380
556,91302,Calabasas,CA,Los Angeles County,25359
557,90057,Los Angeles,CA,Los Angeles County,25327
558,91010,Duarte,CA,Los Angeles County,25275
559,92116,San Diego,CA,San Diego County,25241
560,90005,Los Angeles,CA,Los Angeles County,25196
561,95482,Ukiah,CA,Mendocino County,25177
562,94043,Mountain View,CA,Santa Clara County,25171
563,90249,Gardena,CA,Los Angeles County,25103
564,94063,Redwood City,CA,San Mateo County,25041
565,92240,Desert Hot Springs,CA,Riverside County,24991
566,94582,San Ramon,CA,Contra Costa County,24952
567,92629,Dana Point,CA,Orange County,24939
568,92405,San Bernardino,CA,San Bernardino County,24912
569,92008,Carlsbad,CA,San Diego County,24884
570,95824,Sacramento,CA,Sacramento County,24879
571,95926,Chico,CA,Butte County,24866
572,92595,Wildomar,CA,Riverside County,24808
573,94602,Oakland,CA,Alameda County,24772
574,94062,Redwood City,CA,San Mateo County,24763
575,90302,Inglewood,CA,Los Angeles County,24750
576,91741,Glendora,CA,Los Angeles County,24705
577,90746,Carson,CA,Los Angeles County,24599
578,93422,Atascadero,CA,San Luis Obispo County,24558
579,93703,Fresno,CA,Fresno County,24555
580,93940,Monterey,CA,Monterey County,24549
